Store,Date,DayOfWeek,Sales,Customers,Promo,mean_Promo,POST_Promo,POST_Sales
1,2014-02-26,3,4108.0,491,0,0.0008984725965858042,0,3165
2,2014-02-26,3,4548.0,632,0,0.0008984725965858042,0,3533
3,2014-02-26,3,4580.0,640,0,0.0008984725965858042,0,5893
4,2014-02-26,3,6987.0,1100,0,0.0008984725965858042,0,8779
5,2014-02-26,3,3568.0,548,0,0.0008984725965858042,0,2714
6,2014-02-26,3,4111.0,545,0,0.0008984725965858042,0,3563
7,2014-02-26,3,5812.0,746,0,0.0008984725965858042,0,4060
8,2014-02-26,3,3719.0,560,0,0.0008984725965858042,0,3780
9,2014-02-26,3,5627.0,527,0,0.0008984725965858042,0,5625
10,2014-02-26,3,4253.0,560,0,0.0008984725965858042,0,3606
11,2014-02-26,3,7000.0,1120,0,0.0008984725965858042,0,5400
12,2014-02-26,3,5680.0,794,0,0.0008984725965858042,0,5603
13,2014-02-26,3,2820.0,255,0,0.0008984725965858042,0,3721
14,2014-02-26,3,4408.0,574,0,0.0008984725965858042,0,3517
15,2014-02-26,3,4507.0,488,0,0.0008984725965858042,0,4800
16,2014-02-26,3,6439.0,802,0,0.0008984725965858042,0,5773
17,2014-02-26,3,4426.0,671,0,0.0008984725965858042,0,4853
18,2014-02-26,3,4630.0,627,0,0.0008984725965858042,0,5016
19,2014-02-26,3,5543.0,571,0,0.0008984725965858042,0,5077
20,2014-02-26,3,6497.0,834,0,0.0008984725965858042,0,4655
21,2014-02-26,3,3675.0,384,0,0.0008984725965858042,0,3777
22,2014-02-26,3,4192.0,554,0,0.0008984725965858042,0,2927
23,2014-02-26,3,4393.0,426,0,0.0008984725965858042,0,3653
24,2014-02-26,3,6937.0,663,0,0.0008984725965858042,0,7102
25,2014-02-26,3,10499.0,1626,0,0.0008984725965858042,0,11727
26,2014-02-26,3,4669.0,430,0,0.0008984725965858042,0,4786
27,2014-02-26,3,6027.0,838,0,0.0008984725965858042,0,7502
28,2014-02-26,3,4348.0,481,0,0.0008984725965858042,0,3598
29,2014-02-26,3,4990.0,531,0,0.0008984725965858042,0,6631
30,2014-02-26,3,5228.0,888,0,0.0008984725965858042,0,4581
31,2014-02-26,3,4426.0,461,0,0.0008984725965858042,0,5395
32,2014-02-26,3,2849.0,414,0,0.0008984725965858042,0,3557
33,2014-02-26,3,8052.0,887,0,0.0008984725965858042,0,5197
34,2014-02-26,3,6121.0,862,0,0.0008984725965858042,0,5109
35,2014-02-26,3,6870.0,599,0,0.0008984725965858042,0,6968
36,2014-02-26,3,6648.0,890,0,0.0008984725965858042,0,7396
37,2014-02-26,3,4276.0,543,0,0.0008984725965858042,0,4283
38,2014-02-26,3,4765.0,516,0,0.0008984725965858042,0,4299
39,2014-02-26,3,4511.0,657,0,0.0008984725965858042,0,3914
40,2014-02-26,3,4378.0,603,0,0.0008984725965858042,0,4532
41,2014-02-26,3,3475.0,327,0,0.0008984725965858042,0,4262
42,2014-02-26,3,8588.0,1075,0,0.0008984725965858042,0,11873
43,2014-02-26,3,7152.0,737,0,0.0008984725965858042,0,6295
44,2014-02-26,3,4379.0,587,0,0.0008984725965858042,0,4264
45,2014-02-26,3,3780.0,351,0,0.0008984725965858042,0,4940
46,2014-02-26,3,3269.0,486,0,0.0008984725965858042,0,3931
47,2014-02-26,3,5289.0,829,0,0.0008984725965858042,0,7050
48,2014-02-26,3,3412.0,403,0,0.0008984725965858042,0,3523
49,2014-02-26,3,5977.0,448,0,0.0008984725965858042,0,5269
50,2014-02-26,3,3070.0,292,0,0.0008984725965858042,0,3311
51,2014-02-26,3,4245.0,404,0,0.0008984725965858042,0,4938
52,2014-02-26,3,6268.0,451,0,0.0008984725965858042,0,6878
53,2014-02-26,3,3767.0,471,0,0.0008984725965858042,0,5023
54,2014-02-26,3,4378.0,491,0,0.0008984725965858042,0,6075
55,2014-02-26,3,3638.0,503,0,0.0008984725965858042,0,3810
56,2014-02-26,3,4603.0,359,0,0.0008984725965858042,0,5275
57,2014-02-26,3,7942.0,799,0,0.0008984725965858042,0,9182
58,2014-02-26,3,4915.0,443,0,0.0008984725965858042,0,5592
59,2014-02-26,3,4552.0,533,0,0.0008984725965858042,0,2984
60,2014-02-26,3,6622.0,710,0,0.0008984725965858042,0,5204
61,2014-02-26,3,3980.0,520,0,0.0008984725965858042,0,4309
62,2014-02-26,3,6975.0,861,0,0.0008984725965858042,0,3942
63,2014-02-26,3,4202.0,437,0,0.0008984725965858042,0,5077
64,2014-02-26,3,8600.0,753,0,0.0008984725965858042,0,7993
65,2014-02-26,3,3352.0,345,0,0.0008984725965858042,0,3883
66,2014-02-26,3,3999.0,398,0,0.0008984725965858042,0,3567
67,2014-02-26,3,5838.0,696,0,0.0008984725965858042,0,6717
68,2014-02-26,3,5541.0,948,0,0.0008984725965858042,0,6483
69,2014-02-26,3,6837.0,983,0,0.0008984725965858042,0,6334
70,2014-02-26,3,5004.0,580,0,0.0008984725965858042,0,4639
71,2014-02-26,3,6651.0,643,0,0.0008984725965858042,0,6212
72,2014-02-26,3,3225.0,378,0,0.0008984725965858042,0,2048
73,2014-02-26,3,3628.0,475,0,0.0008984725965858042,0,3488
74,2014-02-26,3,5844.0,877,0,0.0008984725965858042,0,4748
75,2014-02-26,3,4255.0,505,0,0.0008984725965858042,0,4293
76,2014-02-26,3,7064.0,788,0,0.0008984725965858042,0,8593
77,2014-02-26,3,5151.0,513,0,0.0008984725965858042,0,6066
78,2014-02-26,3,2748.0,426,0,0.0008984725965858042,0,2389
79,2014-02-26,3,3780.0,449,0,0.0008984725965858042,0,6171
80,2014-02-26,3,5564.0,474,0,0.0008984725965858042,0,5784
81,2014-02-26,3,5566.0,509,0,0.0008984725965858042,0,4928
82,2014-02-26,3,7673.0,836,0,0.0008984725965858042,0,6259
83,2014-02-26,3,3720.0,351,0,0.0008984725965858042,0,3309
84,2014-02-26,3,10475.0,1379,0,0.0008984725965858042,0,9153
85,2014-02-26,3,4691.0,739,0,0.0008984725965858042,0,5060
86,2014-02-26,3,3664.0,535,0,0.0008984725965858042,0,3661
87,2014-02-26,3,5300.0,694,0,0.0008984725965858042,0,4539
88,2014-02-26,3,4493.0,555,0,0.0008984725965858042,0,4547
89,2014-02-26,3,5171.0,613,0,0.0008984725965858042,0,3522
90,2014-02-26,3,6716.0,1007,0,0.0008984725965858042,0,8562
91,2014-02-26,3,5375.0,663,0,0.0008984725965858042,0,4347
92,2014-02-26,3,3974.0,404,0,0.0008984725965858042,0,3097
93,2014-02-26,3,4147.0,517,0,0.0008984725965858042,0,4932
94,2014-02-26,3,5377.0,573,0,0.0008984725965858042,0,4396
95,2014-02-26,3,5286.0,657,0,0.0008984725965858042,0,5269
96,2014-02-26,3,4377.0,550,0,0.0008984725965858042,0,1438
97,2014-02-26,3,4501.0,523,0,0.0008984725965858042,0,5690
98,2014-02-26,3,3085.0,335,0,0.0008984725965858042,0,4171
99,2014-02-26,3,3600.0,355,0,0.0008984725965858042,0,4760
100,2014-02-26,3,5928.0,607,0,0.0008984725965858042,0,6219
101,2014-02-26,3,6376.0,711,0,0.0008984725965858042,0,4665
102,2014-02-26,3,4397.0,768,0,0.0008984725965858042,0,6098
103,2014-02-26,3,3612.0,357,0,0.0008984725965858042,0,3246
104,2014-02-26,3,8593.0,1236,0,0.0008984725965858042,0,8202
105,2014-02-26,3,3909.0,530,0,0.0008984725965858042,0,4353
106,2014-02-26,3,8042.0,855,0,0.0008984725965858042,0,6407
107,2014-02-26,3,5785.0,884,0,0.0008984725965858042,0,5815
108,2014-02-26,3,8253.0,730,0,0.0008984725965858042,0,9573
