fip,age,race,year,sex,totpop,ir,crack,alcohol,income,ur,poverty,repeal,acc,wht,male,lnr,t,younger,fa,pi,bf15
1,30,2,1985,1,78805,371.4758,0.2174378,1.9,11566.0,8.616667,20.6,0,0.67950445,0,1,7.88088,1,0,,0,0
1,15,1,1985,2,224003,51.38925,0.2174378,1.9,11566.0,8.616667,20.6,0,0.67950445,1,0,6.3621655,1,1,1.0,0,0
1,20,2,1985,2,94113,390.87567,0.2174378,1.9,11566.0,8.616667,20.6,0,0.67950445,0,0,8.917793,1,0,,0,0
1,20,1,1985,1,252076,100.8368,0.2174378,1.9,11566.0,8.616667,20.6,0,0.67950445,1,1,5.9069953,1,0,,0,0
1,20,2,1985,1,94113,390.87567,0.2174378,1.9,11566.0,8.616667,20.6,0,0.67950445,0,1,9.072009,1,0,,0,0
1,40,2,1985,1,48527,199.463,0.2174378,1.9,11566.0,8.616667,20.6,0,0.67950445,0,1,6.344056,1,0,,0,0
1,35,2,1985,2,68459,243.25624,0.2174378,1.9,11566.0,8.616667,20.6,0,0.67950445,0,0,6.1357813,1,0,,0,0
1,40,1,1985,2,177798,70.06068,0.2174378,1.9,11566.0,8.616667,20.6,0,0.67950445,1,0,2.74084,1,0,,0,0
1,20,1,1985,2,252076,100.8368,0.2174378,1.9,11566.0,8.616667,20.6,0,0.67950445,1,0,6.480964,1,0,,0,0
1,35,1,1985,2,203621,74.87242,0.2174378,1.9,11566.0,8.616667,20.6,0,0.67950445,1,0,3.6913762,1,0,,0,0
1,35,2,1985,1,68459,243.25624,0.2174378,1.9,11566.0,8.616667,20.6,0,0.67950445,0,1,7.1564107,1,0,,0,0
1,30,2,1985,2,78805,371.4758,0.2174378,1.9,11566.0,8.616667,20.6,0,0.67950445,0,0,7.148503,1,0,,0,0
1,40,2,1985,2,48527,199.463,0.2174378,1.9,11566.0,8.616667,20.6,0,0.67950445,0,0,5.515443,1,0,,0,0
1,25,2,1985,1,84353,513.9403,0.2174378,1.9,11566.0,8.616667,20.6,0,0.67950445,0,1,8.645217,1,0,2.0,0,0
1,15,1,1985,1,224003,51.38925,0.2174378,1.9,11566.0,8.616667,20.6,0,0.67950445,1,1,5.277094,1,1,1.0,0,0
1,25,1,1985,2,246472,95.24011,0.2174378,1.9,11566.0,8.616667,20.6,0,0.67950445,1,0,5.544787,1,0,2.0,0,0
1,40,1,1985,1,177798,70.06068,0.2174378,1.9,11566.0,8.616667,20.6,0,0.67950445,1,1,3.465736,1,0,,0,0
1,25,2,1985,2,84353,513.9403,0.2174378,1.9,11566.0,8.616667,20.6,0,0.67950445,0,0,8.26804,1,0,2.0,0,0
1,25,1,1985,1,246472,95.24011,0.2174378,1.9,11566.0,8.616667,20.6,0,0.67950445,1,1,5.467216,1,0,2.0,0,0
1,15,2,1985,2,106187,100.628044,0.2174378,1.9,11566.0,8.616667,20.6,0,0.67950445,0,0,8.783779,1,1,1.0,0,1
1,30,1,1985,2,227226,102.52824,0.2174378,1.9,11566.0,8.616667,20.6,0,0.67950445,1,0,4.60417,1,0,,0,0
1,35,1,1985,1,203621,74.87242,0.2174378,1.9,11566.0,8.616667,20.6,0,0.67950445,1,1,4.1447206,1,0,,0,0
1,15,2,1985,1,106187,100.628044,0.2174378,1.9,11566.0,8.616667,20.6,0,0.67950445,0,1,8.331682,1,1,1.0,0,0
1,30,1,1985,1,227226,102.52824,0.2174378,1.9,11566.0,8.616667,20.6,0,0.67950445,1,1,4.560173,1,0,,0,0
1,20,2,1986,2,91469,412.2596,0.2768753,1.9,12164.0,9.083334,23.8,0,1.5311961,0,0,8.873902,2,0,,0,0
1,40,1,1986,1,180098,80.09454,0.2768753,1.9,12164.0,9.083334,23.8,0,1.5311961,1,1,3.3775876,2,0,,0,0
1,15,2,1986,1,106831,111.85746,0.2768753,1.9,12164.0,9.083334,23.8,0,1.5311961,0,1,8.196685,2,1,1.0,0,0
1,25,2,1986,2,84593,549.59875,0.2768753,1.9,12164.0,9.083334,23.8,0,1.5311961,0,0,8.039061,2,0,2.0,0,0
1,35,1,1986,1,214073,83.594536,0.2768753,1.9,12164.0,9.083334,23.8,0,1.5311961,1,1,3.7635229,2,0,,0,0
1,35,1,1986,2,214073,83.594536,0.2768753,1.9,12164.0,9.083334,23.8,0,1.5311961,1,0,3.6163087,2,0,,0,0
1,40,2,1986,2,49149,236.86014,0.2768753,1.9,12164.0,9.083334,23.8,0,1.5311961,0,0,5.164214,2,0,,0,0
1,30,1,1986,1,230831,110.181404,0.2768753,1.9,12164.0,9.083334,23.8,0,1.5311961,1,1,4.673763,2,0,,0,0
1,15,1,1986,1,225366,57.826286,0.2768753,1.9,12164.0,9.083334,23.8,0,1.5311961,1,1,5.062595,2,1,1.0,0,0
1,15,1,1986,2,225366,57.826286,0.2768753,1.9,12164.0,9.083334,23.8,0,1.5311961,1,0,6.4599047,2,1,1.0,0,0
1,35,2,1986,2,71970,273.01282,0.2768753,1.9,12164.0,9.083334,23.8,0,1.5311961,0,0,6.097625,2,0,,0,0
1,30,2,1986,1,80059,396.86942,0.2768753,1.9,12164.0,9.083334,23.8,0,1.5311961,0,1,7.716728,2,0,,0,0
1,20,2,1986,1,91469,412.2596,0.2768753,1.9,12164.0,9.083334,23.8,0,1.5311961,0,1,8.963263,2,0,,0,0
1,25,1,1986,1,247188,101.57019,0.2768753,1.9,12164.0,9.083334,23.8,0,1.5311961,1,1,5.227895,2,0,2.0,0,0
1,25,2,1986,1,84593,549.59875,0.2768753,1.9,12164.0,9.083334,23.8,0,1.5311961,0,1,8.413919,2,0,2.0,0,0
1,15,2,1986,2,106831,111.85746,0.2768753,1.9,12164.0,9.083334,23.8,0,1.5311961,0,0,8.756399,2,1,1.0,0,1
1,40,2,1986,1,49149,236.86014,0.2768753,1.9,12164.0,9.083334,23.8,0,1.5311961,0,1,6.321847,2,0,,0,0
1,35,2,1986,1,71970,273.01282,0.2768753,1.9,12164.0,9.083334,23.8,0,1.5311961,0,1,7.05936,2,0,,0,0
1,40,1,1986,2,180098,80.09454,0.2768753,1.9,12164.0,9.083334,23.8,0,1.5311961,1,0,2.862201,2,0,,0,0
1,30,1,1986,2,230831,110.181404,0.2768753,1.9,12164.0,9.083334,23.8,0,1.5311961,1,0,4.455509,2,0,,0,0
1,20,1,1986,2,245013,105.02342,0.2768753,1.9,12164.0,9.083334,23.8,0,1.5311961,1,0,6.3013363,2,0,,0,0
1,20,1,1986,1,245013,105.02342,0.2768753,1.9,12164.0,9.083334,23.8,0,1.5311961,1,1,5.809043,2,0,,0,0
1,30,2,1986,2,80059,396.86942,0.2768753,1.9,12164.0,9.083334,23.8,0,1.5311961,0,0,7.049602,2,0,,0,0
1,25,1,1986,2,247188,101.57019,0.2768753,1.9,12164.0,9.083334,23.8,0,1.5311961,1,0,5.337057,2,0,2.0,0,0
1,30,1,1987,1,235641,117.834564,0.2113712,1.89,12826.0,7.65,21.3,0,3.4984097,1,1,4.2513485,3,0,,0,0
1,20,1,1987,1,237623,109.21004,0.2113712,1.89,12826.0,7.65,21.3,0,3.4984097,1,1,5.5552826,3,0,,0,0
